Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
48037,bba5,"48 MCYC 1","D","Madison County Youth Center","Corrections","Madison County Law Enforcement"
48038,bba6,"48 EMA ADMIN","D","Administration","Emergency Ops","Madison County Emergency Management"
48039,bba7,"48 EMA OPS 1","D","Operations 1","Emergency Ops","Madison County Emergency Management"
48040,bba8,"48 EMA OPS 2","D","Operations 2","Emergency Ops","Madison County Emergency Management"
48041,bba9,"48 EMA OPS 3","D","Operations 3","Emergency Ops","Madison County Emergency Management"
48042,bbaa,"48 EMA OPS 4","D","Operations 4","Emergency Ops","Madison County Emergency Management"
48043,bbab,"48 EMA COMM1","D","Communications 1","Emergency Ops","Madison County Emergency Management"
48044,bbac,"48 EMA COMM2","D","Communications 2","Emergency Ops","Madison County Emergency Management"
48045,bbad,"48 DPW OPS1","D","Operations 1","Public Works","Madison County Public Works"
48046,bbae,"48 SPC EV 1","D","Events 1","Interop","System 4 Special Event - Madison County"
48047,bbaf,"48 SPC EV 2","D","Events 2","Interop","System 4 Special Event - Madison County"
48048,bbb0,"48 SPC EV 3","D","Events 3","Interop","System 4 Special Event - Madison County"
48049,bbb1,"48 SPC EV 4","D","Events 4","Interop","System 4 Special Event - Madison County"
48050,bbb2,"48 SPC EV 5","D","Events 5","Interop","System 4 Special Event - Madison County"
48051,bbb3,"48 FTRAIN 1","D","Fire: Training Operations","Fire-Talk","Madison County Fire and EMS"
48056,bbb8,"48 ROADS","D","County Road Crews","Public Works","Madison County Public Works"
